10, 8243, 11
4, 8092, 12
7, 8176, 12
1, 8379, 10
3, 8218, 13
9, 8430, 5
8, 8273, 7
6, 8838, 10
2, 8715, 13
5, 8722, 6
9, 8204, 6
5, 8074, 12
8, 8203, 10
6, 8443, 14
1, 8435, 8
4, 8209, 12
10, 8072, 9
9, 8436, 11
7, 8017, 14
3, 8555, 11
2, 8648, 5
8, 8815, 11
5, 8726, 6
2, 8208, 14
1, 8600, 5
10, 8486, 11
4, 8434, 13
3, 8244, 13
9, 8439, 7
5, 8489, 12
1, 8559, 10
6, 8019, 12
8, 8178, 8
7, 8160, 5
9, 8117, 6
7, 8075, 11
2, 8546, 10
5, 8792, 6
8, 8800, 6
1, 8209, 7
4, 8492, 13
3, 8136, 15
10, 8073, 8
9, 8648, 10
6, 8135, 9
5, 8443, 5
8, 8163, 6
1, 8116, 11
7, 8443, 14
2, 8428, 7
5, 8500, 9
8, 8556, 6
10, 8991, 10
6, 8288, 10
9, 8245, 12
4, 8846, 6
3, 8495, 11
8, 8446, 6
2, 8600, 14
5, 8084, 6
4, 8439, 14
1, 8427, 9
8, 8206, 12
6, 8436, 15
7, 8660, 13
5, 8566, 7
10, 8478, 9
3, 8559, 14
9, 8703, 9
1, 8500, 12
5, 8800, 7
2, 8360, 13
4, 8835, 14
8, 8838, 10
9, 8566, 11
10, 8485, 15
5, 8555, 13
7, 8480, 10
6, 8553, 15
3, 8435, 12
1, 8477, 15
8, 8430, 11
4, 8703, 15
2, 8443, 12
7, 8492, 15
9, 8482, 9
5, 8145, 9
3, 8436, 14
8, 8464, 10
6, 8815, 6
1, 8722, 5
2, 8209, 11
10, 8835, 11
9, 8537, 15
5, 8002, 6
4, 8203, 13
6, 8440, 7
1, 8561, 15
7, 8060, 13
8, 8001, 11
3, 8201, 14
5, 8164, 8
6, 8480, 12
2, 8007, 8
4, 8155, 6
10, 8439, 11
5, 8467, 14
8, 8435, 5
9, 8177, 12
7, 8722, 9
1, 8003, 14
3, 8566, 11
2, 8835, 9
8, 8513, 15
4, 8841, 5
6, 8546, 15
4, 8084, 11
10, 8500, 5
7, 8430, 13
2, 8116, 11
5, 8116, 8
3, 8426, 6
9, 8437, 12
10, 8034, 12
1, 8178, 5
8, 8160, 11
6, 9086, 10
3, 8437, 14
4, 8117, 6
5, 8861, 7
1, 8488, 7
7, 8485, 12
2, 8146, 14
4, 8070, 6
9, 8477, 13
10, 8483, 15
1, 8035, 6
5, 8135, 8
6, 8446, 7
8, 8149, 7
4, 8555, 9
7, 8178, 5
1, 8792, 8
3, 8430, 14
6, 8117, 7
